,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Clerodendrum glabrum,Yes,Perennial tree,Yes (Minor),Yes (Medium), Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Tetradenia riparia,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from May to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Vitex agnus-castus,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from May to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Vitex negundo,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from October to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Vitex trifolia,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from October to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Lamium galeobdolon,No,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Lamium maculatum,No,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Lavandula pterostoechas,Yes,Perennial shrub,uncertain source,Yes (Abundant),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leonotis leonurus,Yes,Annual or perennial shrub,Yes (Medium),Yes (Medium),Flowering from February to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Mentha aquatica,Yes,Perennial herb,Yes (Poor),Yes (Medium),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Mentha longifolia,Yes,Perennial herb,Yes (Poor),Yes (Medium),Flowering from November to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Nepeta cataria,No,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Nepeta racemosa,No,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum angustifolium,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum filamentosum,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum gratissimum,Yes,Perennial herb,Yes (Medium),Yes (Abundant),Flowering from November to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum obovatum,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from September to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Orthosiphon labiatus,Yes,Perennial shrub-like ,Yes (Medium),Yes (Poor),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Perovskia atriplicifolia,No,Perennial  shrub,uncertain source,Yes (Abundant),Flowering from November to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Physostegia virginiana,No,Perenial shrub,Yes (Poor),Yes (Abundant),Flowering from February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus dolichopodes,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus hereroensis,Yes,Annual or perennial herb,Yes (Poor),Yes (Medium),Flowering from March to July ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Prunella vulgaris,Yes,Perennial herb,Yes (Poor),Yes (Medium),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Rotheca hirsuta,Yes,Perennial herb,Yes (Poor),Yes (Medium),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Rotheca uncinata,Yes,Perennial herb,Yes (Poor),Yes (Medium),Flowering from May to September,Other insect pollinators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia africana-lutea,Yes,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia disermas,Yes,perennial shrub,Yes (Poor),Yes (Abundant),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia dolomitica,Yes,perennial shrub,Yes (Poor),Yes (Medium),Flowering from January to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia verbenaca,Yes,Perennial shrub,No (do not provide pollen),Yes (Abundant),Flowering from March to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Westringia rosmarinifolia,No,Perennial shrub ,Yes (Medium),Yes (Abundant),Flowering from July to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leucas deflexa,Yes,Perennial herb,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Geniosporum rotundifolium,Yes,Perennial herb ,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Hoslundia opposita,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Haumaniastrum venosum,Yes,Perennial herb,Yes (Medium),Yes (Abundant),Flowering from July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus camaldulensis,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Callistemon citrinus,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus citriodora,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering irregularly but most profusely after the rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus globulus,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from May to June but some trees are found with flowers at any time of the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus ficifolia,No,Perennial tree,Yes (Abundant),Yes (Abundant),"Flowering over a long period, from November to May",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Syzygium guineense ,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),"Flowering over a long period, from November to May",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Corymbia citriodora,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from July to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Corymbia ficifolia,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from from December to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Corymbia maculata,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from from November to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus albens,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus blakelyi,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus bridgesiana,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from November to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus cinerea,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from December to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus cladocalyx,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from January to February and from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus cloeziana,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from from October to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus cornuta,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from December to February and OSeptember to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus saligna,No,Perennial tree,NI,Yes (Abundant),Flowering from November to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus crebra,No,Perennial tree,Uncertain source,Yes (Abundant),Flowering from July to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus diversicolor,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from January to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus dunnii,No,Perennial tree,Yes (Poor),Yes (Poor),Flowering from February to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus elata,No,Perennial tree,Yes (Poor),Yes (Medium),Flowering from July to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus erythrocorys,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from February to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus fastigata,No,Perennial tree,Yes (Abundant),Yes (Medium),Flowering from October to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus globoidea,No,Perennial tree,Yes (Abundant),Yes (Medium),Flowering from November to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus grandis,No,Perennial tree,Yes (Abundant),Yes (Medium),Flowering from November to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus lehmannii,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus leucoxylon,No,Perennial tree,NI,Yes (Abundant),Flowering from April to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus macarthurii,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus gomphocephala,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus melliodora,No,Perennial tree,no pollen,Yes (Abundant),Flowering from May to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus microcorys,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from June to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus microtheca,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from November to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus nitens,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus paniculata,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus pauciflora,No,Perennial tree,Yes (Poor),Yes (Medium),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus polyanthemos,No,Perennial tree,No (do not provide pollen),Yes (Medium),Flowering from March to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus punctata,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from June to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus resinifera,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from August to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus pellita,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering during the rainy season,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus robusta,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from March to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus rubida,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus sideroxylon,No,Perennial tree,No (do not provide pollen),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus smitbii,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus tereticornis,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from July to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Eucalyptus viminalis,No,Perennial tree,Yes (Abundant),Yes (Medium),Flowering from October to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Agonis flexuosa,No,Perennial tree,Uncertain source,Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Angophora costata,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from November to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Lophostemon confertus,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca quinquenervia,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Metrosideros excelsa,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Metrosideros kermadecensis,No,Perennial tree,Yes (Poor),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Syzygium cordatum,Yes,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Syzygium cumini,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Syzygium parvifolium,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Callistemon salignus,No,Perennial tree,Yes (Medium),Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Callistemon speciosus,No,Perennial tree,Yes (Poor),Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Callistemon viminalis,No,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from August to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Leptospermum polygalifolium,No,Perennial tree,Yes (Medium),Yes (Abundant),Flowering from October to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca bracteata,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca diosmifolia,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca ericifolia,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca huegelii,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca hypericifolia,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca lateritia,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca nesophila,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca squarrosa,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca thymifolia,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Melaleuca wilsonii,No,Perennial shrub or small tree,Yes (Medium),Yes (Medium),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtaceae,Myrtus communis,No,Perennial shrub ,Yes (Medium),Yes (Medium),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
